 C:\WinTA100\DIL805.PRO\Data\Quenching\01_Isabelle_QP_Q328oC_P350oC_t10s_09.28.17.PAR
                Time - rel. Change in Length /  Temperature  /  Nominal Temperature 
                  s                %                    °C                    °C
   327        16.39522362        0.18405204      164.07748413      163.94027710
   328        16.44536972        0.18506876      164.29969788      164.44165039
   329        16.49550819        0.18632628      165.02293396      164.94322205
   330        16.54559898        0.18718246      165.57710266      165.44418335
   331        16.59569740        0.18761054      165.82617188      165.94497681
   332        16.64588165        0.18835971      166.63185120      166.44689941
   333        16.69600487        0.18886806      167.22785950      166.94816589
   334        16.74615288        0.18902858      167.38555908      167.44946289
   335        16.79626656        0.18980451      167.85284424      167.95080566
   336        16.84638977        0.19090149      168.41384888      168.45198059
   337        16.89654350        0.19226603      168.89064026      168.95336914
   338        16.94665337        0.19309546      169.56506348      169.45468140
   339        16.99676514        0.19355029      169.88284302      169.95574951
   340        17.04686546        0.19395162      170.56988525      170.45669556
   341        17.09700394        0.19405864      170.81605530      170.95816040
   342        17.14711761        0.19534293      171.70300293      171.45925903
   343        17.19724655        0.19638638      172.04006958      171.96052551
   344        17.24742317        0.19745661      172.50094604      172.46240234
   345        17.29749298        0.19807200      172.80839539      172.96304321
   346        17.34757042        0.19828604      173.53991699      173.46371460
   347        17.39764023        0.19908871      174.09877014      173.96459961
   348        17.44775009        0.19940978      174.37744141      174.46560669
   349        17.49792862        0.20066731      175.20506287      174.96726990
   350        17.54807854        0.20120241      175.55401611      175.46891785
   351        17.59824753        0.20200509      175.89048767      175.97055054
   352        17.64838028        0.20310207      176.63124084      176.47180176
   353        17.69844627        0.20355690      176.94483948      176.97251892
   354        17.74855423        0.20393150      177.39482117      177.47367859
   355        17.79870033        0.20425256      177.98988342      177.97503662
   356        17.84890747        0.20529601      178.44145203      178.47720337
   357        17.89904785        0.20641975      179.08035278      178.97863770
   358        17.94917107        0.20690137      179.57812500      179.47973633
   359        17.99929428        0.20797159      179.96739197      179.98104858
   360        18.04951477        0.20901506      180.67410278      180.48318481
   361        18.09965515        0.20936288      181.04724121      180.98463440
   362        18.14978790        0.20979096      181.33114624      181.48602295
   363        18.19991112        0.21059363      182.08772278      181.98721313
   364        18.25006485        0.21158360      182.58020020      182.48872375
   365        18.30018997        0.21225248      182.86468506      182.98994446
   366        18.35034561        0.21356350      183.42655945      183.49159241
   367        18.40053177        0.21351001      184.01803589      183.99337769
   368        18.45063400        0.21474077      184.64566040      184.49444580
   369        18.50074577        0.21530262      185.08996582      184.99554443
   370        18.55088234        0.21562369      185.44656372      185.49688721
   371        18.60101509        0.21618557      185.95240784      185.99821472
   372        18.65119934        0.21706849      186.37055969      186.50009155
   373        18.70128822        0.21789792      187.09460449      187.00100708
   374        18.75147247        0.21910192      187.69764709      187.50283813
   375        18.80151939        0.21982433      187.92063904      188.00326538
   376        18.85164642        0.22033268      188.31785583      188.50447083
   377        18.90174866        0.22094807      189.13931274      189.00556946
   378        18.95187569        0.22148319      189.40045166      189.50682068
   379        19.00203323        0.22274069      189.95220947      190.00854492
   380        19.05213928        0.22394471      190.64772034      190.50958252
   381        19.10229301        0.22450656      190.94789124      191.01101685
   382        19.15243340        0.22546977      191.56782532      191.51232910
   383        19.20253944        0.22576408      192.14006042      192.01345825
   384        19.25258446        0.22592461      192.46826172      192.51380920
   385        19.30272293        0.22694133      192.97953796      193.01530457
   386        19.35282516        0.22752996      193.51679993      193.51637268
   387        19.40295410        0.22851992      194.22673035      194.01763916
   388        19.45308495        0.22934934      194.56504822      194.51879883
   389        19.50324631        0.23082091      194.96778870      195.02050781
   390        19.55333900        0.23095468      195.37141418      195.52151489
   391        19.60347366        0.23148979      195.89291382      196.02273560
   392        19.65355492        0.23197138      196.54618835      196.52360535
   393        19.70368195        0.23253326      197.00363159      197.02481079
   394        19.75380135        0.23357673      197.68550110      197.52610779
   395        19.80391312        0.23488776      198.10417175      198.02722168
   396        19.85408020        0.23558339      198.58471680      198.52890015
   397        19.90418053        0.23603825      199.01057434      199.02978516
   398        19.95431137        0.23673390      199.40026855      199.53115845
   399        20.00447655        0.23724225      200.13024902      200.03279114
   400        20.05461502        0.23793790      200.56506348      200.53413391
   401        20.10476112        0.23831247      201.15501404      201.03575134
   402        20.15488434        0.24005158      201.52526855      201.53692627
   403        20.20505905        0.24106830      201.97134399      202.03834534
   404        20.25511360        0.24154991      202.60586548      202.53924561
   405        20.30521774        0.24168368      203.06222534      203.04029846
   406        20.35536575        0.24272716      203.55946350      203.54171753
   407        20.40555954        0.24320875      204.00556946      204.04367065
   408        20.45564651        0.24366361      204.65049744      204.54450989
   409        20.50579262        0.24526894      205.15115356      205.04592896
   410        20.55597305        0.24577729      205.54133606      205.54779053
   411        20.60608101        0.24676727      206.20997620      206.04891968
   412        20.65620041        0.24708831      206.41293335      206.55010986
   413        20.70639420        0.24765019      207.01402283      207.05197144
   414        20.75658226        0.24847962      207.53384399      207.55389404
   415        20.80671120        0.24914850      208.09321594      208.05528259
   416        20.85686493        0.25019199      208.40670776      208.55664063
   417        20.90698814        0.25062007      209.06779480      209.05789185
   418        20.95713806        0.25182408      209.49926758      209.55947876
   419        21.00723076        0.25265351      209.99401855      210.06039429
   420        21.05736732        0.25321534      210.63565063      210.56166077
   421        21.10750580        0.25358996      211.05027771      211.06314087
   422        21.15768623        0.25457990      211.64179993      211.56494141
   423        21.20776558        0.25516853      212.09246826      212.06570435
   424        21.25790215        0.25621200      212.50535583      212.56712341
   425        21.30807686        0.25805813      213.12594604      213.06887817
   426        21.35822105        0.25789762      213.66691589      213.56996155
   427        21.40834618        0.25824541      214.04484558      214.07159424
   428        21.45845985        0.25899458      214.55207825      214.57266235
   429        21.50859451        0.26001129      214.89112854      215.07392883
   430        21.55870819        0.26051965      215.55715942      215.57519531
   431        21.60888863        0.26169690      216.07855225      216.07696533
   432        21.65900421        0.26228553      216.72558594      216.57789612
   433        21.70918655        0.26287416      217.16630554      217.07998657
   434        21.75933838        0.26386410      217.64837646      217.58145142
   435        21.80944824        0.26394439      218.06307983      218.08256531
   436        21.85957909        0.26522866      218.62246704      218.58389282
   437        21.90972710        0.26579049      219.11128235      219.08531189
   438        21.95982742        0.26688752      219.53173828      219.58639526
   439        22.00995636        0.26819852      220.13493347      220.08764648
   440        22.06002235        0.26884067      220.49006653      220.58824158
   441        22.11018753        0.26916173      221.13626099      221.08979797
   442        22.16033745        0.27036574      221.47088623      221.59146118
   443        22.21045876        0.27063328      222.28511047      222.09255981
   444        22.26062584        0.27143595      222.66175842      222.59423828
   445        22.31077766        0.27202457      222.93325806      223.09588623
   446        22.36091042        0.27317506      223.68273926      223.59719849
